epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,9560.49,0.54432,0.43524,1.0722,0.88918,0.76157,0.82427,0.73005,0.75034,0.91779,1.22753,0.0001783,0.0001783,0.0001783
85,9676.84,0.55145,0.44375,1.07745,0.86796,0.77183,0.82157,0.73187,0.74279,0.91315,1.23711,0.0001684,0.0001684,0.0001684
86,9793.79,0.53056,0.4381,1.0713,0.89733,0.77875,0.83044,0.73826,0.7352,0.89509,1.2203,0.0001585,0.0001585,0.0001585
87,9910.39,0.53728,0.42675,1.06737,0.87319,0.77804,0.82533,0.73728,0.74719,0.93832,1.23281,0.0001486,0.0001486,0.0001486
88,10027.4,0.53637,0.42741,1.06743,0.88601,0.75767,0.80997,0.72395,0.74538,0.99029,1.23511,0.0001387,0.0001387,0.0001387
89,10143.9,0.51991,0.41719,1.06343,0.89005,0.76436,0.82046,0.73195,0.7434,0.9585,1.23976,0.0001288,0.0001288,0.0001288
90,10260.5,0.51253,0.40744,1.05922,0.87928,0.7476,0.81342,0.72783,0.73862,0.99977,1.21899,0.0001189,0.0001189,0.0001189
91,10378.3,0.43211,0.28613,0.98514,0.89208,0.77785,0.81372,0.73434,0.72375,0.97408,1.20931,0.000109,0.000109,0.000109
92,10488.8,0.41296,0.25949,0.97304,0.8847,0.75136,0.81124,0.72394,0.72643,0.97132,1.21938,9.91e-05,9.91e-05,9.91e-05
93,10604.6,0.41363,0.25804,0.97569,0.87886,0.75207,0.81331,0.72994,0.72033,0.97005,1.21017,8.92e-05,8.92e-05,8.92e-05
